Vmag,Plx,e_Plx,B-V,Amag,Temperature,Amag^2,log_Vmag,Vmag-Amag
8.23,2.73,0.85,1.223,15.410813,4264.087834229776,237.49315732096898,2.1077860146889784,-7.180812999999999
8.69,3.63,1.08,1.072,16.489532,4576.2618171049635,271.904665579024,2.162172939277301,-7.799532000000001
9.03,1.29,1.12,-0.054,14.582949,10852.985569065408,212.66240153660098,2.200552367428894,-5.552949
9.07,0.21,1.4,0.23,10.681096,7937.866694928842,114.08581176121601,2.2049722641270453,-1.6110959999999999
7.36,5.84,0.85,0.451,16.192064,6619.8111716624835,262.18293658009594,1.9960599327407849,-8.832063999999999
5.87,3.52,0.83,-0.136,13.602713,12216.040132702241,185.03380096036898,1.7698546338400052,-7.7327129999999995
7.92,12.64,0.8,0.508,18.428736,6352.827420303602,339.618310557696,2.0693912058263346,-10.508736
8.53,19.61,1.54,0.625,19.992388,5871.3504069152605,399.69557794254393,2.1435893615035875,-11.462387999999999
8.69,5.22,2.21,0.331,17.27835,7270.368603524201,298.5413787225,2.162172939277301,-8.58835
7.96,30.19,1.08,0.717,20.359316,5544.210942627608,414.501747987856,2.0744289998562917,-12.399315999999999
6.36,5.07,0.76,1.399,14.88504,3952.0299686921016,221.5644158016,1.8500283773520307,-8.52504
9.26,13.71,1.38,0.558,19.945187,6137.0162433237265,397.810484464969,2.225704048658088,-10.685187
9.01,1.73,1.25,1.652,15.200231,3578.3358520376896,231.04702245336102,2.1983350716202463,-6.190231000000001
8.26,1.58,1.04,-0.14,14.253286,12292.519421243624,203.156161797796,2.1114245875328868,-5.9932859999999994
8.07,3.97,1.2,1.124,16.063953,4463.469356535613,258.05058598620906,2.0881534822818573,-7.993953000000001
7.45,2.63,1.32,0.061,14.549778,9422.936975494651,211.696039849284,2.0082140323914683,-7.099778
7.41,4.65,0.91,1.054,15.747265,4616.717083828433,247.976354980225,2.0028304393079956,-8.337265
9.21,3.97,1.4,0.533,17.203953,6242.911930373659,295.9759988262089,2.2202898502672155,-7.993952999999998
7.34,0.91,0.89,0.924,12.135207,4932.946387320523,147.263248932849,1.9933388426264242,-4.7952069999999996
9.26,1.63,1.28,1.068,15.320938,4585.187259968924,234.731141199844,2.225704048658088,-6.060938
9.84,3.48,1.54,0.419,17.547897,6780.656605633341,307.92868912260894,2.286455711064162,-7.707896999999999
8.62,3.91,0.76,1.317,16.580883,4091.276181919481,274.925681059689,2.1540850846756014,-7.960883000000001
9.25,1.18,1.1,1.265,14.60941,4185.021855685738,213.4348605481,2.224623551524334,-5.3594100000000005
8.06,6.01,0.99,1.194,16.954372,4320.533598811555,287.450729914384,2.086913556518537,-8.894371999999999
9.17,7.33,1.53,0.635,18.49552,5833.797626353467,342.0842600704,2.2159372862683733,-9.32552
7.17,30.07,0.56,0.637,19.560667,5826.348777503776,382.61969348488896,1.969905654611529,-12.390666999999999
8.37,3.84,1.15,0.418,16.291656,6785.819911004338,265.41805522233597,2.124653884501384,-7.9216560000000005
8.16,0.42,0.75,1.659,11.276246,3569.0338867993823,127.15372385251601,2.0992441689760155,-3.1162460000000003
8.6,3.59,1.37,0.501,16.375473,6384.357040814874,268.15611597372896,2.151762203259462,-7.775473
8.76,7.26,0.87,0.636,18.064684,5830.070651083036,326.332808019856,2.1701959049483,-9.304684
9.09,3.55,0.9,0.289,16.84114,7532.495891168977,283.62399649959997,2.2071749081893874,-7.7511399999999995
7.06,7.0,1.2,1.293,16.28549,4133.992294963597,265.2171845401,1.9544450515051506,-9.22549
7.03,18.9,0.93,0.441,18.41231,6669.180639456661,339.01315953610003,1.9501867058225735,-11.38231
7.98,2.09,1.11,1.658,14.580732,3570.3596708358327,212.59774565582399,2.0769384114617173,-6.600731999999999
6.16,11.86,0.88,0.374,16.530424,7021.789425001276,273.254917619776,1.8180767775454285,-10.370424
8.82,4.36,0.85,0.528,17.017433,6264.565874307395,289.59302590948903,2.1770218700187,-8.197433
7.23,7.24,0.81,0.195,16.528692,8201.905393075882,273.19765923086396,1.9782390361706734,-9.298691999999999
9.11,6.05,0.76,0.587,18.018776,6018.915262428434,324.676288538176,2.209372711271867,-8.908776
6.84,4.71,0.89,0.895,15.205105,5009.857079567038,231.195218061025,1.922787731634459,-8.365105
9.1,1.42,0.83,0.813,14.861443,5241.78709496573,220.862488042249,2.2082744135228043,-5.761443
9.29,52.92,1.48,1.318,22.9081,4089.516341211745,524.7810456100001,2.2289385528257473,-13.618100000000002
5.62,10.35,0.96,0.949,15.694701,4868.620554151521,246.323639479401,1.7263316639055997,-10.074701000000001
6.74,1.91,0.75,0.039,13.145166,9663.430836969308,172.79538916755598,1.9080599249242156,-6.4051659999999995
8.49,7.54,1.09,0.6,17.876856,5967.543450190654,319.581980444736,2.138889000323256,-9.386856
8.75,12.45,1.19,0.434,19.225845,6704.2170297243065,369.63311596402497,2.169053700369523,-10.475845
8.86,4.75,1.25,1.138,17.24347,4434.092768557611,297.33725764089996,2.1815467646169897,-8.383469999999999
4.22,55.79,0.69,0.434,17.952782,6704.2170297243065,322.302381539524,1.4398351280479205,-13.732782
9.44,7.28,1.63,0.502,18.750656,6379.832130149707,351.58710043033597,2.244955980157409,-9.310656
9.52,4.44,1.41,0.459,17.756916,6580.881646344008,315.308065831056,2.253394848803274,-8.236916
7.34,3.91,0.86,0.435,15.300884,6699.1874132057255,234.117051181456,1.9933388426264242,-7.960884
8.6,3.32,1.47,1.64,16.20569,3594.399505081432,262.6243883761,2.151762203259462,-7.605690000000001
5.92,10.98,0.7,0.023,16.12301,9847.112368192616,259.95145146010003,1.7783364488959144,-10.20301
7.67,2.81,0.7,0.912,14.913532,4964.466340064088,222.413436715024,2.0373166153791646,-7.243532
7.95,2.18,0.66,-0.018,14.6422825,10355.461805136052,214.39643680980626,2.0731719286662407,-6.6922825
6.93,18.69,0.7,0.477,18.288046,6495.075374721187,334.45262649811605,1.9358598132018119,-11.358046000000002
8.69,11.97,1.25,0.544,19.080471,6195.836399185695,364.064373581841,2.162172939277301,-10.390471
7.82,10.79,1.15,0.44,17.985107,6674.161523966186,323.464073801449,2.05668455455722,-10.165106999999999
8.27,0.23,2.61,1.363,10.07864,4011.926519118532,101.5789842496,2.1126345090356,-1.8086400000000005
8.64,9.56,1.18,0.528,18.54229,6264.565874307395,343.81651844410004,2.1564025828159643,-9.90229
7.66,1.59,0.81,0.071,13.6669855,9317.952706453369,186.78649265721023,2.0360119837525,-6.006985499999999
7.89,2.44,1.13,0.864,14.82695,5094.93516225697,219.8384463025,2.065596134857783,-6.93695
6.3,5.35,1.0,1.068,14.941769,4585.187259968924,223.25646084936102,1.840549633397487,-8.641769
7.43,5.37,1.2,1.03,16.079872,4671.844617825824,258.56228353638403,2.005525858729668,-8.649872000000002
9.21,3.53,1.28,0.335,16.948874,7246.43699036922,287.264329867876,2.2202898502672155,-7.738873999999999
7.76,2.6,0.9,1.07,14.8348675,4580.719962436781,220.07329374255625,2.048982334195127,-7.0748675
5.82,4.99,0.74,1.334,14.310503,4061.572343851858,204.79049611300903,1.7613002617433464,-8.490503
9.54,11.86,1.66,0.867,19.910423,5086.56803607493,396.4249440389291,2.255493485460195,-10.370423000000002
9.81,3.38,1.43,0.76,17.454584,5404.26756361682,304.662502613056,2.2834022735772717,-7.644584
5.14,5.8,0.81,1.635,13.95714,3601.136891691814,194.80175697960001,1.6370530794670737,-8.817140000000002
9.41,2.13,1.48,1.281,16.051899,4155.701958216401,257.663461506201,2.2417729535972883,-6.641898999999999
9.86,2.77,1.74,0.25,17.0724,7795.1843950015245,291.46684175999997,2.288486168614544,-7.212399999999999
4.45,5.14,0.78,-0.18,13.004815,13121.153930884579,169.125213184225,1.4929040961781488,-8.554815000000001
7.21,7.94,0.88,1.246,16.709103,4220.406483981623,279.19412306460896,1.9754689512968577,-9.499102999999998
7.11,5.1,0.96,0.993,15.647852,4759.60801139827,244.85527221390402,1.9615022438151495,-8.537852
8.06,2.49,0.91,0.026,15.040997,9812.081842374097,226.23159075400903,2.086913556518537,-6.980997
9.59,7.31,1.8,0.287,18.909588,7545.495620873736,357.57251832974396,2.2607208888953467,-9.319588
7.16,5.85,0.75,0.941,15.995779,4889.010996113712,255.86494581684101,1.9685099809725544,-8.835779
9.14,8.98,1.67,0.496,18.906384,6407.085991242047,357.451355955456,2.2126603854660587,-9.766383999999999
8.27,19.65,1.07,0.582,19.736813,6038.927788401523,389.5417873969691,2.1126345090356,-11.466813000000002
8.3,16.93,1.12,0.704,19.443285,5588.057182873401,378.041331591225,2.1162555148025524,-11.143284999999999
5.99,2.24,0.74,0.199,12.74124,8170.75386850288,162.3391967376,1.7900914121273581,-6.751239999999999
8.59,3.03,0.71,0.065,15.997213,9380.629488607337,255.910823767369,2.150598735996164,-7.4072130000000005
7.63,2.03,0.63,1.694,14.16748,3523.2651875712136,200.7174895504,2.0320878452963655,-6.5374799999999995
8.41,2.28,1.03,1.071,15.199675,4578.489747573559,231.03012010562497,2.1294214739848565,-6.789674999999999
9.57,3.2,1.39,0.667,17.095749,5717.011623870146,292.264633871001,2.258633205464863,-7.525749000000001
8.86,5.71,1.22,0.7,17.64318,5601.697844213074,311.2818005124,2.1815467646169897,-8.783180000000002
8.02,3.32,0.98,1.341,15.62569,4049.471796714147,244.16218797610003,2.081938421878423,-7.605690000000001
8.46,6.41,1.07,0.395,17.49429,6906.979204607475,306.0501826041,2.135349173618132,-9.034289999999999
8.39,15.77,1.09,0.608,19.379158,5936.395356408104,375.551764788964,2.127040520479115,-10.989158
9.08,32.53,1.56,0.957,21.64142,4848.409094920103,468.3510596164,2.206074192613202,-12.56142
7.19,6.59,1.02,0.947,16.284428,4873.701288598329,265.182595287184,1.9726911717329554,-9.094427999999997
8.47,9.83,1.02,0.417,18.432768,6790.991757348858,339.766936141824,2.136530508663963,-9.962767999999999
9.95,15.2,2.15,0.972,20.859219,4810.986555454773,435.107017289961,2.2975725511705014,-10.909219
9.68,1.99,1.33,0.095,16.174267,9076.256441400235,261.60691298728904,2.2700619012884857,-6.494267000000001
7.71,3.58,1.33,1.72,15.479416,3490.044184621585,239.612319701056,2.0425181875752383,-7.7694160000000005
7.91,4.03,0.95,0.033,15.936525,9731.412063097674,253.972829075625,2.0681277817795625,-8.026525
8.96,9.52,1.34,0.56,18.853184,6128.711336703474,355.442546937856,2.192770226986839,-9.893183999999998
8.39,2.68,1.61,1.01,15.530674,4718.856086025702,241.20183489427598,2.127040520479115,-7.140673999999999
6.17,11.26,0.87,0.124,16.427692,8802.06757779465,269.869064446864,1.8196988379172965,-10.257692
5.29,13.06,0.54,1.304,15.869716,4114.298941988967,251.847885920656,1.665818245870208,-10.579716000000001
7.43,10.81,0.87,0.471,17.599129,6523.407364544044,309.72934155864107,2.005525858729668,-10.169129000000002
7.56,7.7,1.05,0.241,16.992453,7858.689224557897,288.74345895720904,2.0228711901914416,-9.432453000000002
8.49,3.11,0.84,0.027,15.953802,9800.46654175548,254.52379825520399,2.138889000323256,-7.463801999999999
8.31,-0.12,0.83,0.0,8.705907,10125.237191650855,75.792816692649,2.1174596088673567,-0.39590699999999934
6.74,20.99,0.85,0.502,18.350061,6379.832130149707,336.724738703721,1.9080599249242156,-11.610061
9.3,1.55,0.86,0.994,15.251658,4757.190284138469,232.61307174896402,2.2300144001592104,-5.951658
7.39,4.94,0.82,-0.044,15.858635,10709.489380468975,251.49630406322498,2.0001277349601105,-8.468634999999999
9.77,2.25,1.78,0.148,16.530912,8588.596901782697,273.27105155174405,2.2793164660546914,-6.760912000000001
8.45,15.15,1.15,0.521,19.352062,6295.155047096477,374.502303651844,2.134166441369082,-10.902062
7.87,11.95,1.05,0.961,18.25684,4838.369718850402,333.31220678560004,2.063058062429312,-10.38684
8.85,11.14,0.9,0.572,19.084427,6079.385355699007,364.2153539183291,2.180417459019838,-10.234427000000002
8.43,-0.08,0.97,0.061,7.9454503,9422.936975494651,63.13018046977009,2.131796772013764,0.48454969999999964
7.3,4.94,1.03,1.061,15.768636,4600.895299436185,248.64988130049602,1.9878743481543455,-8.468636
6.09,7.78,0.94,1.027,15.544898,4678.833302290605,241.643853830404,1.8066480817218056,-9.454898
9.44,24.11,1.23,0.955,21.350986,4853.4453144401205,455.8646031721959,2.244955980157409,-11.910986
8.05,3.98,0.93,1.18,16.049416,4348.347922793503,257.58375394105605,2.0856720914304723,-7.999416
7.23,5.29,1.0,1.118,15.847279,4476.184906565804,251.136251703841,1.9782390361706734,-8.617279
9.32,2.6,0.88,1.453,16.394867,3865.5971560208836,268.7916639476891,2.2321626286975,-7.074867000000001
9.35,1.91,1.42,-0.101,15.755167,11589.662091152395,248.225287197889,2.2353763433005955,-6.4051670000000005
7.89,11.35,0.86,0.523,18.16498,6286.382449166465,329.9664984004,2.065596134857783,-10.27498
9.96,1.94,1.91,0.63,16.39901,5852.509413999555,268.9275289801,2.298577071596507,-6.43901
10.11,20.28,1.82,1.01,21.64534,4718.856086025702,468.5207437156,2.3135250330323798,-11.535340000000001
5.88,3.51,0.63,1.322,13.606536,4082.492760904539,185.13782191929602,1.7715567619105355,-7.726536
8.52,1.12,1.11,-0.015,13.76609,10316.282218913633,189.5052338881,2.1424163408412245,-5.246090000000001
7.82,3.11,1.03,1.323,15.283802,4080.7408004791164,233.594603575204,2.05668455455722,-7.463801999999999
8.72,2.06,1.11,-0.155,15.289336,12589.166447747953,233.763795320896,2.1656192379208883,-6.569336
5.69,1.92,0.63,-0.165,12.106506,12796.053522849235,146.567487528036,1.7387102481382397,-6.416505999999999
9.29,5.85,0.89,0.484,18.125778,6462.35579104865,328.54382810528404,2.2289385528257473,-8.835778000000001
9.41,4.25,1.36,1.31,17.551945,4103.639505412454,308.070773283025,2.2417729535972883,-8.141945
8.57,2.61,1.09,0.934,15.653202,4907.0014099217815,245.022732852804,2.1482677326096886,-7.083202
6.37,25.27,0.71,0.448,18.383026,6634.538697205323,337.93564491667604,1.851599469584072,-12.013026
6.78,3.3,0.82,0.933,14.37257,4909.582909552189,206.57076840489998,1.9139771019523042,-7.592569999999999
7.4,17.92,0.66,0.465,18.666689,6552.008109552954,348.4452782227211,2.0014800002101243,-11.266689000000001
7.64,9.35,0.92,0.5,17.494059,6388.888888888889,306.042100295481,2.033397603178429,-9.854059
8.52,3.13,0.87,1.39,15.997723,3966.828688903021,255.927141184729,2.1424163408412245,-7.477723000000001
7.19,3.43,0.91,0.578,14.86647,6055.04114452875,221.0119302609,1.9726911717329554,-7.676469999999999
7.97,1.65,0.96,1.157,14.05742,4394.867731372135,197.6110570564,2.075684492802124,-6.087420000000001
8.19,10.93,1.27,0.462,18.3831,6566.410523451448,337.93836560999995,2.102913897864978,-10.1931
7.51,9.78,0.9,0.893,17.461695,5015.2550582086915,304.910792273025,2.0162354657760435,-9.951694999999999
9.72,-1.43,1.69,0.276,15.49668,7617.881421866805,240.1470910224,2.2741856184723477,-5.776679999999999
7.7,4.93,1.15,0.078,16.164234,9245.993536391761,261.28246080675603,2.0412203288596382,-8.464234000000001
8.19,3.77,0.86,1.155,16.071707,4398.9623536929475,258.299765893849,2.102913897864978,-7.8817070000000005
